Cohort row ID,Record ID,Study/cohort,Available/total,Detected,Positioned/eligible,Attempted/operated,Verified outcome,Rate,Unit,Verification tier,Interpretation / data-quality note
DEN-035,LIT-227,Multinozzle robot — five orchard zones,912 selected/pollinated flowers total,98.9% average,Vision-selected preferential flowers,912 reported as pollinated,93.4% targeting; 88.9% fruit set,Targeting 93.4%; fruit set 88.9%,Flower; zone-average,BV4,Raw zone numerators and comparator denominators not reported; fruit quality assessed at four months.
DEN-036,LIT-227,Hand-pollination comparator,NR,,,NR,Fruit set 90.6%,90.6%,Flower,BV4,Distinct orchard zone; raw denominator and assignment mechanism NR.
DEN-037,LIT-227,Electric-sprayer comparator,NR,,,NR,Fruit set 77.8%,77.8%,Flower,BV4,Distinct orchard zone; raw denominator and assignment mechanism NR.
DEN-038,LIT-236,Autonomous pear drone — 1 m row summary,6.8 flowers/inflorescence average,AI detection used; denominator NR,Autonomous flight points,One 4-s spray per lateral branch,5.2 fruits/inflorescence average,77.4%,Inflorescence; per-1-m row summary,BV3,"Number of inflorescences, raw counts and variance not reported."
DEN-039,LIT-236,Puff-brush comparator,7.0 flowers/inflorescence average,,,Manual,5.5 fruits/inflorescence average,78.9%,Inflorescence,BV3,Separate field area; n and raw counts NR.
DEN-040,LIT-236,Manual solution comparator,6.9 flowers/inflorescence average,,,Manual spray,5.6 fruits/inflorescence average,81.8%,Inflorescence,BV3,Separate field area; n and raw counts NR.
DEN-041,LIT-238,Controlled indoor servoing,320 stigma-touch trials,Mature flowers detected,Stigma pose estimated,320,Contact-confirmed success,94.45% at k=23; 99.68% at k=29,Stigma-touch trial,BV1,"Contact is deposition-process evidence, not fruit set."
DEN-042,LIT-238,Controlled indoor fruit set — robot,5 groups; 5–18 flowers/group,,,Robot pollination,Fruit set,74.6% ± 10.7%,Group of flowers,BV3,Exact total flowers and group numerators not stated in text.
DEN-043,LIT-238,Controlled indoor fruit set — manual,8 groups; flower total NR,,,Manual pollination,Fruit set,85.3% ± 22.2%,Group of flowers,BV3,p=0.3378 versus robot; no randomised allocation.
DEN-044,LIT-238,Commercial greenhouse servoing,960 pollination experiments,85.1% flower detection on 128 plants,Stigma pose estimation,960,Contact-confirmed success,94.63% at k=23; 99.65% at k=29,Pollination experiment,BV1,System was tested in a commercial production greenhouse.
DEN-045,LIT-238,Commercial greenhouse pollination rate,780 plants; 78 plants/row; n=5 manual and n=5 robot rows for rate comparison,Approx. 6.4–7.7 mature detected flowers/plant at a robot stop,"Mature, visible, stigma-exserted flowers",Robot versus manual rows,Pollination success,Robot 77.6% ±9.4%; manual 92.4% ±2.0%,Plant row,BV1,"No random row assignment; outcome is pollination success, not fruit set."
DEN-046,LIT-238,GEAIR F1 hybrid proof of concept,Five male-parent cross combinations,,,Robotic crosses,F1 hybrids produced and phenotyped,Five combinations,Cross combination / F1 progeny,BV4,Confirms downstream biological success; exact fruit/seed denominator by cross not reported in the main text.
DEN-047,LIT-221,Electrostatic autonomous drone (−12 kV),n=3 trees; exact clusters and flowers NR,YOLO RGB-D cluster detection,Detected clusters converted to 3D spray trajectories,One treated canopy side per tree,"Mean 8.3 flowers, 5.1 fruits and 1.2 good fruits per cluster",Fruit set 62.1%; good-fruit rate 13.8%,Flower cluster nested within tree,BV3,9.3 s/m; 10.0 mg pure pollen/m. Exact cluster count and total flower denominator not reported.
DEN-048,LIT-221,Nonelectrostatic autonomous drone,n=2 completed trees; exact clusters and flowers NR,YOLO RGB-D cluster detection,Detected clusters converted to 3D spray trajectories,One tree lost because of flight obstruction,"Mean 7.6 flowers, 3.9 fruits and 0.7 good fruits per cluster",Fruit set 53.5%; good-fruit rate 8.7%,Flower cluster nested within tree,BV3,15.0 s/m; 18.4 mg pure pollen/m. Unbalanced replication.
DEN-049,LIT-221,Manual Bonten brush,n=3 trees; exact clusters and flowers NR,,One flower per inflorescence manually treated,Manual,"Mean 8.0 flowers, 4.8 fruits and 1.8 good fruits per cluster",Fruit set 61.9%; good-fruit rate 22.5%,Flower cluster nested within tree,BV3,111.0 s/m; 16.0 mg pure pollen/m. Highest good-fruit rate.
DEN-050,LIT-221,Natural open pollination,n=3 trees; exact clusters and flowers NR,,,No artificial treatment,"Mean 8.3 flowers, 4.5 fruits and 1.0 good fruits per cluster",Fruit set 53.6%; good-fruit rate 10.5%,Flower cluster nested within tree,BV3,Open-pollination reference; exact cluster count NR.
