ID,Denominator chain,Success definition,Execution evidence,Biological/agronomic outcome,Denominator completeness
LIT-121,30 independent experimental trials per condition; flower/event counts underlying rates NR,Proper nozzle alignment followed by air-pulse execution,Attempt rate 92.38±4.12%; success 85.71±4.85%; overall efficacy 79.2%; contact comparator success 78.62±5.94%,"No deposition, germination, fruit set, or harvest outcome",Partial
LIT-125,47 experiments; 144 total flowers; 134 correctly identified; two false positives,End-effector touches flower and its anthers after actuator extension,Detection 93.1%; reported contact 'pollination' success 76.9%,"No real flower, pollen transfer, fertilization, or fruit outcome",Partial
LIT-172,50 flowers in each arm; 4 sterile flowers per arm; 46 fruits assessed per arm,"Fruit grade, marketability, weight, volume, Brix, achene number and fertilized-achene percentage",Robot pollinated selected flowers using a programmed five-second circular motion,"Robot: 27 Grade-3, 11 Grade-2, 8 Grade-1 and 4 sterile; hand: 33 Grade-3, 6 Grade-2, 7 Grade-1 and 4 sterile. Marketable-weight share 92% robot versus 88% hand; robot had lower fertilized-achene percentage overall (ANOVA p=0.027).",Complete
LIT-173,"Integrated artificial-plant test: 50 visible flowers, 40 detected, 38/40 aligned. Separate tool experiment: 64 plants across pollinated and passive-wind groups.",Autonomous detection/alignment/inspection and visible pollen classification; fruit mass in a separate manually operated tool validation,40/50 flowers detected and 38/40 detected flowers aligned in the artificial-plant integrated experiment,"Human use of the tool produced 1390 g versus 1069 g fruit mass, a 30.0% increase over passive wind; this is not autonomous robotic BV4 evidence.",Partial
LIT-174,No raw trial or flower counts reported,Qualitative pollen deposition and absence of flower damage,Real tomato and eggplant flowers were manipulated by the bimanipulator,Authors qualitatively observed pollen naturally deposit on the stigma; no fruit-set or harvest outcome,Not recoverable
LIT-175,No raw flower/trial counts reported,Successful flower identification and reliable arm positioning,Preliminary field trials validated perception and arm positioning,Yield measurements were explicitly ongoing,Not recoverable
LIT-176,"Operational Table 4 totals: N1=1,828 flowers manually counted; N2=1,636 detected; N3=1,486 positioned; N4=1,405 successful robot operations. Authors report group-average detection 89.80%, positioning 91.07%, operation 94.42% and custom POL 73.58%. Biological comparison: 200 flowers per method.","Operational success is a custom coupled POL metric based on detection, positioning and robot-operation counts; biological success was fruit formation 40 days after treatment","1,405 successful operations from 1,828 manually counted flowers; average operation time 30.476 s; reported POL 73.58%","Artificial: 195/200 fruit, 279.6 g mean mass, 6.1 cm diameter, 15.8% deformed and 7.5% empty. Drone: 196/200, 306.9 g, 6.9 cm, source-reported 9.4% increase (mean-mass ratio ≈9.8%), 0% deformed/empty. Mechanical robot: 198/200, 298.1 g, 6.4 cm, source-reported 6.5% increase (mean-mass ratio ≈6.6%), 0% deformed/empty.",Partial overall; complete for the 200-per-method biological comparison
LIT-195,"60 simulated pollination-path trials per algorithm. PSBI-RRT had 3 failures and 57 successes, yielding 95%. The physical-arm demonstration on a simulated chili tree did not report a separate trial denominator.",A collision-free planned path successfully guided the arm from the initial pose to the target pose,PSBI-RRT: 57/60 path successes; average search time 1.89 s; average path length 58.24 pixels; three failures,,Complete for the simulation algorithm test; incomplete for the physical demonstration
LIT-196,"YOLOv5s-Im actuator attempts by flight: 40, 38, 43, 45 and 42; total 208 and mean 41.6. The number of available, detected, contact-confirmed or pollen-deposition-verified flowers was not reported.",A detector-triggered pollination-brush actuator attempt; independent brush-to-flower contact and pollen transfer were not verified,208 actuator attempts in five three-minute YOLOv5s-Im flights; 2 FPS onboard inference; detection accuracy 84–88% across lighting/view conditions,,Partial
LIT-200,"2024: 30 flowers per zone, 300 total; fruit set 239/300 overall. Robotic zones A–H: 182/240; manual dry-pollen zones I–J: 57/60. 2025: 50 flowers per zone, nominal 500 total; Table 9 reports an impossible H-zone value of 55/50 while also reporting 88.0%.","Fruit set among bagged assessed flowers; 2024 also measured harvested fruit weight and yield. Immediate robotic success was separately reported as 85%, with out-of-reach flowers filtered during path planning.",35–40 s/m² operational speed; approximately 200 g/ha pollen; detection >95%; wind-compensated precision spraying,"2024 fruit set ranged 56.7–96.7%; 795 fruits harvested, total mass 43,461.8 g, mean 54.67 g and estimated yield 7,243.63 kg/ha. 2025 reported zone fruit-set rates of 82–96%, but the H-zone numerator is internally inconsistent.",Partial
LIT-227,912 robot-pollinated flowers across five zones; targeting and fruit-set rates reported as zone averages. Comparator flower denominators and raw numerators NR.,Targeting success = flowers hit / flowers selected by vision; fruit set = fruits / pollinated flowers at 20 days,Flower detection 98.9%; targeting success 93.4%; 1.2 s/flower; 0.20 g pollen per 60 flowers,"Fruit set: robot 88.9%, hand 90.6%, electric sprayer 77.8%; harvest fruit size, weight and seed count evaluated",Incomplete
LIT-236,Only per-1-m row averages reported. Drone: 6.8 flowers and 5.2 fruits per inflorescence; number of inflorescences and raw counts NR.,Fruiting rate = fruits set per flowers per inflorescence,Autonomous route and sprayer executed; RTK-GNSS positional error approximately 20 cm,"Fruit set: drone 77.4%, puff-brush 78.9%, solution pollination 81.8%",Not recoverable
LIT-238,"Controlled: 320 contact trials; robot fruit-set n=5 groups with 5–18 flowers/group; manual n=8 groups. Commercial: 960 servo trials; 780 plants, 78/row; pollination rate n=5 manual and n=5 robot rows; five F1 cross combinations.",Image-confirmed brush–stigma contact; fruit set; successful production and phenotyping of F1 hybrids,Controlled servo success 94.45% at k=23 and 99.68% at k=29; commercial 94.63% and 99.65%; 15 s/flower,Controlled fruit set robot 74.6% ±10.7% versus manual 85.3% ±22.2% (p=0.3378); commercial pollination success robot 77.6% ±9.4% versus manual 92.4% ±2.0%; five F1 hybrid combinations produced and phenotyped,Partial to substantial
LIT-221,"Tree replication n=3 for electrostatic, manual and natural; n=2 for nonelectrostatic. Cluster-level analysis used marked flower clusters, but exact cluster and flower totals by treatment were not reported; Table 2 gives mean flowers/fruits/good fruits per cluster.",Fruit set at 30 days; high-quality fruit set defined using primary-thinning size and shape criteria; deposition characterised by distance from the spray point,Autonomous RGB-D/RTK trajectories executed at approximately 200 mm nozzle-to-flower distance; 9.3 s/m and 10.0 mg pure pollen/m for electrostatic drone; positioning error approximately ±50 mm,"Fruit set: electrostatic drone 62.1%, nonelectrostatic drone 53.5%, manual 61.9%, natural 53.6%. Good-fruit rates: 13.8%, 8.7%, 22.5% and 10.5%, respectively.",Partial
LIT-338,"Day datasets: 809 flowers for stereo capture and 903 for CNN detection. Representative run: 732 flowers in spraying window, 594 hit, 1,045 shots.",Flower captured/detected/scheduled and visually hit by pollen spray,74.37% of all flowers detected and schedulable by day; 69.98% at night; 81.15% of flowers in the representative window were hit at 0.36 m s−1,"No fruit-set, seed, harvest or germination endpoint",Complete for the representative execution segment
LIT-339,"Day datasets: 809 flowers for stereo capture and 903 for CNN detection. Representative run: 732 flowers in spraying window, 594 hit, 1,045 shots.",Flower captured/detected/scheduled and visually hit by pollen spray,"89.3% detected, 71.9% correctly localised and 80.1% estimated hit at 0.36 m s−1","No fruit-set, seed, harvest or germination endpoint",Complete for the representative execution segment
