Family ID,Comparator / assignment summary,Principal limitation,Linkage confidence,Linkage basis
F11,"Comparator: Configurations with 1, 2, 4, and 6 arms; Eight artificial-plant scenarios | Assignment: Artificial targets assigned through multi-agent architecture | Randomisation: No; Reachable flowers identified and attempted; no causal assignment | Randomisation: No",Multi-agent system but no real flowers; failures caused flowers leaving camera view during arm motion.,High,Distinct experiment within programme
F12,Comparator: Naturally pollinated flowers outside greenhouse | Assignment: 37 robot flowers allocated by distance; 12 natural flowers visually counted; no randomisation | Randomisation: No,"Manual control, very small groups, comparator in a different environment, no blinded/random assignment.",High,Sole publication
F13,"Comparator: Hand brush pollination | Assignment: Fifty flowers per method; flowers randomly selected, but method-allocation randomisation not fully described",Robot placement was manual; only one cultivar and controlled facility; allocation procedure between methods was not fully reconstructable.,High,Sole publication
F14,Comparator: Passive artificial-wind control in a separate human-operated tool experiment | Assignment: No robotic treatment-assignment experiment,The fully integrated robot was not evaluated for downstream fruit outcome on real plants; biological result came from manual tool use.,High,Sole publication
F15,Comparator: No quantitative comparator | Assignment: No treatment-assignment protocol,"Qualitative observation only; no raw denominator, comparator, fertilization or fruit outcome.",High,Sole publication
F16,Comparator: None in completed preliminary tests | Assignment: No assignment design,Proceedings-stage prototype; no pollen-deposition or fruit-yield evidence; no denominator chain.,High,Sole publication
F17,"Comparator: Artificial pollination and drone pollination in the same facility environment for downstream fruit outcomes | Assignment: Operational trials were divided into ten groups with frontlight/backlight balance; biological treatment allocation among artificial, drone and mechanical methods was not described as randomised","The paper states '100 pollination runs' but Table 4 contains 1,828 manually counted flower targets. Biological group assignment, baseline comparability and blinding are not reported. The mobile robot was positioned in front of plants, and future work explicitly proposes SLAM for fully autonomous movement.",High,Sole publication
F18,"Comparator: Six path-planning algorithms: RRT, BI-RRT, RRT*, BI-RRT*, GBI-RRT* and Informed-RRT* | Assignment: Each algorithm was run 60 times in the simulation experiment; no biological treatment assignment","The 95% 'pollination success' is collision-free path-planning success on a simulated tree, not flower contact or biological pollination.",High,Sole publication
F19,"Comparator: Alternative detector deployments: YOLOv5s, YOLOv5s-T, YOLOv5-Sh-V2 and YOLOv5s-Mb-V2 | Assignment: Five consecutive three-minute flights per model configuration; no biological treatment assignment","The action trial used artificial flowers, manual/loiter flight and a stationary drone. 'Successful attempts' are actuator triggers rather than verified contact, deposition or fruit set.",High,Sole publication
F20,Comparator: 2024 manual dry-pollen zones plus multiple robotic nozzle/application strategies; 2025 wind-compensation ON versus OFF spatial zones | Assignment: Five trees were partitioned into ten spatial zones. Treatments were allocated by zone; no randomisation or known assignment propensity was reported.,"Spatial, non-random treatment allocation; flowers selected and bagged after treatment; nozzle type and application frequency confounded; chassis autonomy unresolved.",High,Sole publication
F21,"Comparator: Manual puff-brush pollination and manual pollen-solution spraying; Same autonomous drone without voltage, manual Bonten feather-brush pollination and natural open pollination | Assignment: Three separate field areas; no random allocation or blocking | Randomisation: No; One canopy side of three trees per treatment; no randomised treatment assignment reported. Nonelectrostatic treatment n=2 because one flight was obstructed. Flower clusters randomly sampled within treated sides | Randomisation: No","No randomised treatment allocation; unbalanced tree replication; cluster-within-tree hierarchy analysed mainly at cluster level; possible cross-treatment interference; no direct pollen viability, charge-to-mass, stigma receipt or harvest-quality measurements.",High,Distinct experiment within programme
F22,Comparator: Manual cross-pollination | Assignment: Robot and manual groups/rows; no randomised assignment or propensity logging | Randomisation: No,Crop genome editing was a necessary co-intervention; no random assignment; flower/row interference and resource competition were not modelled; exact flower-level denominators were partly reported as ranges.,High,Sole publication
