Experiment ID,Publication ID,Family ID,Programme family,Experiment label,Setting/season,Publication-level PV,Publication-level BV,Publication-level DC,Publication-level RG,BV attribution,Biological endpoint present,Counting justification,Important caution
EXP-LIT-115,LIT-115,F09,Jeong/Jawed controlled-environment system,Single experiment represented by publication,Controlled environment; 10 morphologically diverse real plants,PV2,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The 92.5% value is grasping success, not pollination efficacy; preprint; fruit-set validation deferred."
EXP-LIT-118,LIT-118,F10,Singh tomato pollination programme,Single experiment represented by publication,Laboratory with a 3D-printed tomato plant,PV1,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,Artificial plant and contact-only success; no greenhouse or biological validation.
EXP-LIT-119,LIT-119,F11,WVU BrambleBee/Stickbug programme,Single experiment represented by publication,Greenhouse using artificial plants,PV1,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,Multi-agent system but no real flowers; failures caused flowers leaving camera view during arm motion.
EXP-LIT-120,LIT-120,F12,Masuda suspended tomato robot,Single experiment represented by publication,Greenhouse robot trial plus natural comparator outside greenhouse,PV3,BV3,DC1,RG1,A1,Yes,No defensible split into multiple independent experiments from the audited evidence.,"Manual control, very small groups, comparator in a different environment, no blinded/random assignment."
EXP-LIT-121,LIT-121,F10,Singh tomato pollination programme,Single experiment represented by publication,Real greenhouse trials,PV3,BV0,DC1,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The statistically compared endpoint is execution, not biological pollination; no target-level denominator chain."
EXP-LIT-125,LIT-125,F11,WVU BrambleBee/Stickbug programme,Single experiment represented by publication,Laboratory/artificial bramble plant,PV1,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,High-fidelity artificial flowers; success is anther contact; orientation and blind approach caused failures.
EXP-LIT-172,LIT-172,F13,HarvestX strawberry programme,Single experiment represented by publication,Plant factory with artificial lighting; controlled indoor production,PV2,BV4,DC2,RG1,A1,Yes,No defensible split into multiple independent experiments from the audited evidence.,Robot placement was manual; only one cultivar and controlled facility; allocation procedure between methods was not fully reconstructable.
EXP-LIT-173,LIT-173,F14,Kong/Kousik microscopic strawberry system,Single experiment represented by publication,Robotic laboratory/indoor-farming experiments; artificial-plant integrated test plus real-flower subsystem tests,PV2,BV1,DC0,RG1,A0,No,No defensible split into multiple independent experiments from the audited evidence.,The fully integrated robot was not evaluated for downstream fruit outcome on real plants; biological result came from manual tool use.
EXP-LIT-174,LIT-174,F15,CAR CSIC-UPM soft pollination tool,Single experiment represented by publication,Hydroponic greenhouse; spring 2024,PV2,BV1,DC0,RG0,A1,No,No defensible split into multiple independent experiments from the audited evidence.,"Qualitative observation only; no raw denominator, comparator, fertilization or fruit outcome."
EXP-LIT-175,LIT-175,F16,Sri Lanka IoT strawberry rover,Single experiment represented by publication,Open-field raised beds; preliminary field tests,PV3,BV0,DC0,RG0,,No,No defensible split into multiple independent experiments from the audited evidence.,Proceedings-stage prototype; no pollen-deposition or fruit-yield evidence; no denominator chain.
EXP-LIT-176,LIT-176,F17,Li/Jin facility-tomato vibration robot,Single experiment represented by publication,"Facility tomato greenhouse, Luoyang; Dutch Pink Belle plants; indoor validation under 23–25 °C and 65–70% RH",PV3,BV4,DC1,RG1,A1?,Yes,No defensible split into multiple independent experiments from the audited evidence.,"The paper states '100 pollination runs' but Table 4 contains 1,828 manually counted flower targets. Biological group assignment, baseline comparability and blinding are not reported. The mobile robot was positioned in front of plants, and future work explicitly proposes SLAM for fully autonomous movement."
EXP-LIT-195,LIT-195,F18,Ni chili-arm path-planning system,Single experiment represented by publication,MATLAB/RokaeStudio simulation plus a physical ROKAE XB7 arm operating on a simulated chili tree,PV1,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The 95% 'pollination success' is collision-free path-planning success on a simulated tree, not flower contact or biological pollination."
EXP-LIT-196,LIT-196,F19,YOLOv5s-Im apple-drone programme,Single experiment represented by publication,Outdoor controlled flight test using artificial apple flowers mounted on a 5-ft stand,PV1,BV0,DC0,RG1,,No,No defensible split into multiple independent experiments from the audited evidence.,"The action trial used artificial flowers, manual/loiter flight and a stationary drone. 'Successful attempts' are actuator triggers rather than verified contact, deposition or fruit set."
EXP-LIT-200-2024,LIT-200,F20,Hao/Cui precision-liquid kiwifruit programme,2024 nozzle/application-strategy field experiment,"Yangling kiwifruit orchard, May 2024",PV3,BV4,DC1,RG2,A1?,Yes,"Distinct season, design and denominator: 10 zones × 30 flowers.",Publication-level RG2 spans both seasons; 2024 treatment factors were spatially confounded.
EXP-LIT-200-2025,LIT-200,F20,Hao/Cui precision-liquid kiwifruit programme,2025 wind-compensation field experiment,"Yangling kiwifruit orchard, May 2025",PV3,BV4,DC1,RG2,A1?,Yes,"Distinct season, design and denominator: 10 zones × 50 flowers, wind compensation ON/OFF.",Source reports impossible Zone-H value 55/50 with 88.0%; preserve as a source contradiction.
EXP-LIT-227,LIT-227,F02,Gao/Cao kiwifruit targeting-robot programme,Single experiment represented by publication,Commercial kiwifruit orchard; five 3×3 m robot zones in May 2023,PV3,BV4,DC1,RG1,A2,Yes,No defensible split into multiple independent experiments from the audited evidence.,"Distinct spatial comparator zones, incomplete raw denominators, uncontrolled natural pollination, wind drift and different thinning/selection practices. Same programme as earlier Gao single-nozzle robot but a distinct multinozzle experiment."
EXP-LIT-236,LIT-236,F21,Miyoshi/Hiraguri/Shimizu Japanese-pear drone programme,Single experiment represented by publication,"Pear field at Kuki Proving Ground, Saitama, Japan",PV3,BV3,DC1,RG0,A2,Yes,No defensible split into multiple independent experiments from the audited evidence.,"Single demonstration area per method, no statistical comparison, incomplete denominators and no direct deposition measure. Possible companion/follow-up relation with the 2026 electrostatic Japanese-pear paper remains unresolved."
EXP-LIT-238-CONTROLLED,LIT-238,F22,GEAIR crop-robot co-design and hybrid-breeding programme,Controlled indoor robotic cross-pollination experiment,Controlled indoor tomato rows,PV3,BV4,DC2,RG2,A2,Yes,Separate 320-contact-trial setting with its own robot/manual fruit-set groups.,Publication-level codes are retained; this experiment was not independently re-scored.
EXP-LIT-238-COMMERCIAL,LIT-238,F22,GEAIR crop-robot co-design and hybrid-breeding programme,Commercial-greenhouse robotic cross-pollination experiment,Commercial tomato-production greenhouse,PV3,BV4,DC2,RG2,A2,Yes,"Separate 960-servo-trial, 780-plant commercial setting and F1 demonstration.",Publication-level codes are retained; this experiment was not independently re-scored.
EXP-LIT-221,LIT-221,F21,Miyoshi/Hiraguri/Shimizu Japanese-pear drone programme,Single experiment represented by publication,April 2025 field trial in a joint V-shaped 'Kosui' pear orchard at Saitama Agricultural Technology Research Center,PV3,BV3,DC2,RG1,A2,Yes,No defensible split into multiple independent experiments from the audited evidence.,"No randomised treatment allocation; unbalanced tree replication; cluster-within-tree hierarchy analysed mainly at cluster level; possible cross-treatment interference; no direct pollen viability, charge-to-mass, stigma receipt or harvest-quality measurements."
EXP-F06-AMMP-2016,LIT-338; LIT-339,F06,Auckland/Waikato kiwifruit programme,Initial AMMP moving-platform wet-pollination evaluation,"November 2016, multiple rows at two kiwifruit orchards",PV3,BV1,DC0,RG2,A1,No,Barnett and Duke are two reports of one shared initial evaluation.,Manual platform control; hit/release evidence only; no fruit or stigma-load endpoint.
